Ticker,Year,Form,Positive Percentage,PosPctNorm,Negative Percentage,NegPctNorm,Polarity,PolarNorm,Subjectivity,SubjNorm,TotalWords,ESG Words,ESG Percentage,ESGNorm,MarketPrem
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2016,10K,0.1288,0.093198263,0.8712,0.906801737,-0.771828961,0.196635031,0.007178536,0.524344046,775367,29786,0.0384,0.424107143,0.004972758
AAPL,2017,10K,0.121,0.087554269,0.879,0.912445731,-0.784088965,0.186069497,0.00717177,0.523831351,815001,30836,0.0378,0.417410714,0.266946919
AAPL,2017,10K,0.121,0.087554269,0.879,0.912445731,-0.784088965,0.186069497,0.00717177,0.523831351,815001,30836,0.0378,0.417410714,0.266946919
AAPL,2017,10K,0.121,0.087554269,0.879,0.912445731,-0.784088965,0.186069497,0.00717177,0.523831351,815001,30836,0.0378,0.417410714,0.266946919
AAPL,2017,10K,0.121,0.087554269,0.879,0.912445731,-0.784088965,0.186069497,0.00717177,0.523831351,815001,30836,0.0378,0.417410714,0.266946919
AAPL,2017,10K,0.121,0.087554269,0.879,0.912445731,-0.784088965,0.186069497,0.00717177,0.523831351,815001,30836,0.0378,0.417410714,0.266946919
AAPL,2017,10K,0.121,0.087554269,0.879,0.912445731,-0.784088965,0.186069497,0.00717177,0.523831351,815001,30836,0.0378,0.417410714,0.266946919
AAPL,2017,10K,0.121,0.087554269,0.879,0.912445731,-0.784088965,0.186069497,0.00717177,0.523831351,815001,30836,0.0378,0.417410714,0.266946919
AAPL,2017,10K,0.121,0.087554269,0.879,0.912445731,-0.784088965,0.186069497,0.00717177,0.523831351,815001,30836,0.0378,0.417410714,0.266946919
AAPL,2017,10K,0.121,0.087554269,0.879,0.912445731,-0.784088965,0.186069497,0.00717177,0.523831351,815001,30836,0.0378,0.417410714,0.266946919
AAPL,2017,10K,0.121,0.087554269,0.879,0.912445731,-0.784088965,0.186069497,0.00717177,0.523831351,815001,30836,0.0378,0.417410714,0.266946919
AAPL,2017,10K,0.121,0.087554269,0.879,0.912445731,-0.784088965,0.186069497,0.00717177,0.523831351,815001,30836,0.0378,0.417410714,0.266946919
AAPL,2017,10K,0.121,0.087554269,0.879,0.912445731,-0.784088965,0.186069497,0.00717177,0.523831351,815001,30836,0.0378,0.417410714,0.266946919
AAPL,2017,10K,0.121,0.087554269,0.879,0.912445731,-0.784088965,0.186069497,0.00717177,0.523831351,815001,30836,0.0378,0.417410714,0.266946919
AAPL,2017,10K,0.121,0.087554269,0.879,0.912445731,-0.784088965,0.186069497,0.00717177,0.523831351,815001,30836,0.0378,0.417410714,0.266946919
AAPL,2017,10K,0.121,0.087554269,0.879,0.912445731,-0.784088965,0.186069497,0.00717177,0.523831351,815001,30836,0.0378,0.417410714,0.266946919
AAPL,2017,10K,0.121,0.087554269,0.879,0.912445731,-0.784088965,0.186069497,0.00717177,0.523831351,815001,30836,0.0378,0.417410714,0.266946919
AAPL,2017,10K,0.121,0.087554269,0.879,0.912445731,-0.784088965,0.186069497,0.00717177,0.523831351,815001,30836,0.0378,0.417410714,0.266946919
AAPL,2017,10K,0.121,0.087554269,0.879,0.912445731,-0.784088965,0.186069497,0.00717177,0.523831351,815001,30836,0.0378,0.417410714,0.266946919
AAPL,2017,10K,0.121,0.087554269,0.879,0.912445731,-0.784088965,0.186069497,0.00717177,0.523831351,815001,30836,0.0378,0.417410714,0.266946919
AAPL,2017,10K,0.121,0.087554269,0.879,0.912445731,-0.784088965,0.186069497,0.00717177,0.523831351,815001,30836,0.0378,0.417410714,0.266946919
AAPL,2017,10K,0.121,0.087554269,0.879,0.912445731,-0.784088965,0.186069497,0.00717177,0.523831351,815001,30836,0.0378,0.417410714,0.266946919
AAPL,2017,10K,0.121,0.087554269,0.879,0.912445731,-0.784088965,0.186069497,0.00717177,0.523831351,815001,30836,0.0378,0.417410714,0.266946919
AAPL,2017,10K,0.121,0.087554269,0.879,0.912445731,-0.784088965,0.186069497,0.00717177,0.523831351,815001,30836,0.0378,0.417410714,0.266946919
AAPL,2017,10K,0.121,0.087554269,0.879,0.912445731,-0.784088965,0.186069497,0.00717177,0.523831351,815001,30836,0.0378,0.417410714,0.266946919
AAPL,2017,10K,0.121,0.087554269,0.879,0.912445731,-0.784088965,0.186069497,0.00717177,0.523831351,815001,30836,0.0378,0.417410714,0.266946919
AAPL,2017,10K,0.121,0.087554269,0.879,0.912445731,-0.784088965,0.186069497,0.00717177,0.523831351,815001,30836,0.0378,0.417410714,0.266946919
AAPL,2017,10K,0.121,0.087554269,0.879,0.912445731,-0.784088965,0.186069497,0.00717177,0.523831351,815001,30836,0.0378,0.417410714,0.266946919
AAPL,2017,10K,0.121,0.087554269,0.879,0.912445731,-0.784088965,0.186069497,0.00717177,0.523831351,815001,30836,0.0378,0.417410714,0.266946919
AAPL,2017,10K,0.121,0.087554269,0.879,0.912445731,-0.784088965,0.186069497,0.00717177,0.523831351,815001,30836,0.0378,0.417410714,0.266946919
AAPL,2017,10K,0.121,0.087554269,0.879,0.912445731,-0.784088965,0.186069497,0.00717177,0.523831351,815001,30836,0.0378,0.417410714,0.266946919
AAPL,2017,10K,0.121,0.087554269,0.879,0.912445731,-0.784088965,0.186069497,0.00717177,0.523831351,815001,30836,0.0378,0.417410714,0.266946919
AAPL,2017,10K,0.121,0.087554269,0.879,0.912445731,-0.784088965,0.186069497,0.00717177,0.523831351,815001,30836,0.0378,0.417410714,0.266946919
AAPL,2017,10K,0.121,0.087554269,0.879,0.912445731,-0.784088965,0.186069497,0.00717177,0.523831351,815001,30836,0.0378,0.417410714,0.266946919
AAPL,2017,10K,0.121,0.087554269,0.879,0.912445731,-0.784088965,0.186069497,0.00717177,0.523831351,815001,30836,0.0378,0.417410714,0.266946919
AAPL,2017,10K,0.121,0.087554269,0.879,0.912445731,-0.784088965,0.186069497,0.00717177,0.523831351,815001,30836,0.0378,0.417410714,0.266946919
AAPL,2017,10K,0.121,0.087554269,0.879,0.912445731,-0.784088965,0.186069497,0.00717177,0.523831351,815001,30836,0.0378,0.417410714,0.266946919
AAPL,2017,10K,0.121,0.087554269,0.879,0.912445731,-0.784088965,0.186069497,0.00717177,0.523831351,815001,30836,0.0378,0.417410714,0.266946919
AAPL,2017,10K,0.121,0.087554269,0.879,0.912445731,-0.784088965,0.186069497,0.00717177,0.523831351,815001,30836,0.0378,0.417410714,0.266946919
AAPL,2017,10K,0.121,0.087554269,0.879,0.912445731,-0.784088965,0.186069497,0.00717177,0.523831351,815001,30836,0.0378,0.417410714,0.266946919
AAPL,2017,10K,0.121,0.087554269,0.879,0.912445731,-0.784088965,0.186069497,0.00717177,0.523831351,815001,30836,0.0378,0.417410714,0.266946919
AAPL,2017,10K,0.121,0.087554269,0.879,0.912445731,-0.784088965,0.186069497,0.00717177,0.523831351,815001,30836,0.0378,0.417410714,0.266946919
AAPL,2017,10K,0.121,0.087554269,0.879,0.912445731,-0.784088965,0.186069497,0.00717177,0.523831351,815001,30836,0.0378,0.417410714,0.266946919
AAPL,2017,10K,0.121,0.087554269,0.879,0.912445731,-0.784088965,0.186069497,0.00717177,0.523831351,815001,30836,0.0378,0.417410714,0.266946919
AAPL,2017,10K,0.121,0.087554269,0.879,0.912445731,-0.784088965,0.186069497,0.00717177,0.523831351,815001,30836,0.0378,0.417410714,0.266946919
AAPL,2017,10K,0.121,0.087554269,0.879,0.912445731,-0.784088965,0.186069497,0.00717177,0.523831351,815001,30836,0.0378,0.417410714,0.266946919
AAPL,2017,10K,0.121,0.087554269,0.879,0.912445731,-0.784088965,0.186069497,0.00717177,0.523831351,815001,30836,0.0378,0.417410714,0.266946919
AAPL,2017,10K,0.121,0.087554269,0.879,0.912445731,-0.784088965,0.186069497,0.00717177,0.523831351,815001,30836,0.0378,0.417410714,0.266946919
AAPL,2017,10K,0.121,0.087554269,0.879,0.912445731,-0.784088965,0.186069497,0.00717177,0.523831351,815001,30836,0.0378,0.417410714,0.266946919
AAPL,2017,10K,0.121,0.087554269,0.879,0.912445731,-0.784088965,0.186069497,0.00717177,0.523831351,815001,30836,0.0378,0.417410714,0.266946919
AAPL,2017,10K,0.121,0.087554269,0.879,0.912445731,-0.784088965,0.186069497,0.00717177,0.523831351,815001,30836,0.0378,0.417410714,0.266946919
AAPL,2017,10K,0.121,0.087554269,0.879,0.912445731,-0.784088965,0.186069497,0.00717177,0.523831351,815001,30836,0.0378,0.417410714,0.266946919
AAPL,2017,10K,0.121,0.087554269,0.879,0.912445731,-0.784088965,0.186069497,0.00717177,0.523831351,815001,30836,0.0378,0.417410714,0.266946919
AAPL,2017,10K,0.121,0.087554269,0.879,0.912445731,-0.784088965,0.186069497,0.00717177,0.523831351,815001,30836,0.0378,0.417410714,0.266946919
AAPL,2017,10K,0.121,0.087554269,0.879,0.912445731,-0.784088965,0.186069497,0.00717177,0.523831351,815001,30836,0.0378,0.417410714,0.266946919
